,Movie_name,Movie_release_date,Wikipedia_link,Running_time,Budget,Box_office
0,Snow White and the Seven Dwarfs,"December 21, 1937",https://en.m.wikipedia.org/wiki/Snow_White_and_the_Seven_Dwarfs_(1937_film),83 minutes,$1.49 million,$418 million
1,Pinocchio,"February 7, 1940",https://en.m.wikipedia.org/wiki/Pinocchio_(1940_film),88 minutes,$2.6 million,$164 million
2,Fantasia,"November 13, 1940",https://en.m.wikipedia.org/wiki/Fantasia_(1940_film),126 minutes,$2.28 million,$76.4–$83.3 million (United States and Canada)
3,The Reluctant Dragon,"June 20, 1941",https://en.m.wikipedia.org/wiki/The_Reluctant_Dragon_(1941_film),74 minutes,"$600,000","$960,000 (worldwide rentals)"
4,Dumbo,"October 23, 1941",https://en.m.wikipedia.org/wiki/Dumbo,64 minutes,"$950,000",">$1.3 million (est. United States/Canada rentals, 1941)"
5,Bambi,"August 13, 1942",https://en.m.wikipedia.org/wiki/Bambi,70 minutes,"$858,000",$267.4 million
6,Victory Through Air Power,"July 17, 1943",https://en.m.wikipedia.org/wiki/Victory_Through_Air_Power_(film),70 min,"$788,000","$799,000"
7,Make Mine Music,"April 20, 1946",https://en.m.wikipedia.org/wiki/Make_Mine_Music,75 minutes,$1.35 million,$3.275 million (worldwide rentals)
8,Song of the South,"November 12, 1946",https://en.m.wikipedia.org/wiki/Song_of_the_South,94 minutes,$2.125 million,$65 million
9,Melody Time,"May 27, 1948",https://en.m.wikipedia.org/wiki/Melody_Time,75 minutes,$1.5 million,$2.56 million (worldwide rentals)
10,So Dear to My Heart,"November 29, 1948",https://en.m.wikipedia.org/wiki/So_Dear_to_My_Heart,82 minutes,$1.5 million,"$3.7 million (U.S. rental) $575,000 (foreign rental)"
11,Cinderella,"February 15, 1950",https://en.m.wikipedia.org/wiki/Cinderella_(1950_film),74 minutes,$2.2 million,$263.6 million
12,Treasure Island,"July 29, 1950",https://en.m.wikipedia.org/wiki/Treasure_Island_(1950_film),96 minutes,"$1,800,000","$4,100,000 (worldwide rentals)"
13,Alice in Wonderland,"July 28, 1951",https://en.m.wikipedia.org/wiki/Alice_in_Wonderland_(1951_film),75 minutes,$3 million,"['$2.4 million (1951, domestic)', '$3.5 million (1974, domestic)']"
14,Peter Pan,"February 5, 1953",https://en.m.wikipedia.org/wiki/Peter_Pan_(1953_film),77 minutes,$4 million,$87.4 million (United States and Canada)
15,The Sword and the Rose,"July 23, 1953",https://en.m.wikipedia.org/wiki/The_Sword_and_the_Rose,92 minutes,$2 million,$1 million (US)
16,The Living Desert,"November 10, 1953",https://en.m.wikipedia.org/wiki/The_Living_Desert,69 minutes,"$300,000",$2.6 million (US)
17,"20,000 Leagues Under the Sea","December 23, 1954","https://en.m.wikipedia.org/wiki/20,000_Leagues_Under_the_Sea_(1954_film)",127 minutes,$5 million,$28.2 million
18,Lady and the Tramp,"June 22, 1955",https://en.m.wikipedia.org/wiki/Lady_and_the_Tramp,76 minutes,$4 million,$187 million
19,Sleeping Beauty,"January 29, 1959",https://en.m.wikipedia.org/wiki/Sleeping_Beauty_(1959_film),75 minutes,$6 million,$51.6 million (United States and Canada)
20,The Shaggy Dog,"March 19, 1959",https://en.m.wikipedia.org/wiki/The_Shaggy_Dog_(1959_film),104 minutes,"under $1 million or $1,250,000",$12.3 million (US and Canada rentals)
21,Third Man on the Mountain,"November 10, 1959",https://en.m.wikipedia.org/wiki/Third_Man_on_the_Mountain,105 minutes,$2 million,"$1,700,000 (US/Canada rentals)"
22,Pollyanna,"May 19, 1960",https://en.m.wikipedia.org/wiki/Pollyanna_(1960_film),134 minutes,$2.5 million,$3.75 million (US and Canadian rentals)
23,Swiss Family Robinson,"December 21, 1960",https://en.m.wikipedia.org/wiki/Swiss_Family_Robinson_(1960_film),131 minutes,$4 million,$40 million
24,One Hundred and One Dalmatians,"January 25, 1961",https://en.m.wikipedia.org/wiki/One_Hundred_and_One_Dalmatians,79 minutes,$3.6 million,$303 million
25,Babes in Toyland,"December 14, 1961",https://en.m.wikipedia.org/wiki/Babes_in_Toyland_(1961_film),105 minutes,$3 million,$4.6 million (U.S./Canada rentals)
26,Bon Voyage!,"May 17, 1962",https://en.m.wikipedia.org/wiki/Bon_Voyage!_(1962_film),130 minutes,$3 million,$5 million (rentals)
27,The Sword in the Stone,"December 25, 1963",https://en.m.wikipedia.org/wiki/The_Sword_in_the_Stone_(1963_film),79 minutes,$3 million,$22.2 million (United States and Canada)
28,Mary Poppins,"August 29, 1964",https://en.m.wikipedia.org/wiki/Mary_Poppins_(film),139 minutes,$4.4–6 million,$103.1 million
29,The Jungle Book,"October 18, 1967",https://en.m.wikipedia.org/wiki/The_Jungle_Book_(1967_film),78 minutes,$4 million,$378 million
30,The Happiest Millionaire,"November 30, 1967",https://en.m.wikipedia.org/wiki/The_Happiest_Millionaire,164 minutes ( Los Angeles premiere) 144 minutes ( New York City premiere) 118 minutes (General release) 172 minutes ( Director's cut ),$5 million,$5 million (U.S./Canada rentals)
31,The Love Bug,"December 24, 1968",https://en.m.wikipedia.org/wiki/The_Love_Bug,108 minutes,$5 million,"$51,264,000"
32,The Aristocats,"December 24, 1970",https://en.m.wikipedia.org/wiki/The_Aristocats,79 minutes,$4 million,$191 million
33,Bedknobs and Broomsticks,"December 13, 1971",https://en.m.wikipedia.org/wiki/Bedknobs_and_Broomsticks,118 minutes (1971 original version) 139 minutes (1996 reconstruction version),$6.3 million,$17.9 million
34,Robin Hood,"November 8, 1973",https://en.m.wikipedia.org/wiki/Robin_Hood_(1973_film),83 minutes,$5 million,$32 million
35,The Island at the Top of the World,"December 20, 1974",https://en.m.wikipedia.org/wiki/The_Island_at_the_Top_of_the_World,93 minutes,$8 million,$10 million (US/Canada rentals)
36,Freaky Friday,"December 17, 1976",https://en.m.wikipedia.org/wiki/Freaky_Friday_(1976_film),95 minutes,$5 million,$36 million
37,The Rescuers,"June 22, 1977",https://en.m.wikipedia.org/wiki/The_Rescuers,77 minutes,$7.5 million,$169 million
38,Pete's Dragon,"November 3, 1977",https://en.m.wikipedia.org/wiki/Pete%27s_Dragon_(1977_film),128 minutes,$10 million,$36 –39.6 million
39,The Black Hole,"December 21, 1979",https://en.m.wikipedia.org/wiki/The_Black_Hole,98 minutes,$20 million,$35.8 million
40,The Watcher in the Woods,"April 17, 1980",https://en.m.wikipedia.org/wiki/The_Watcher_in_the_Woods_(1980_film),84 minutes,$9 million,$5 million
41,The Last Flight of Noah's Ark,"June 25, 1980",https://en.m.wikipedia.org/wiki/The_Last_Flight_of_Noah%27s_Ark,97 minutes,$6-8 million,$11 million
42,Popeye,"December 12, 1980",https://en.m.wikipedia.org/wiki/Popeye_(film),114 minutes,$20 million,$60 million
43,Dragonslayer,"June 26, 1981",https://en.m.wikipedia.org/wiki/Dragonslayer_(1981_film),109 minutes,$18 million,$14.1 million
44,The Fox and the Hound,"July 10, 1981",https://en.m.wikipedia.org/wiki/The_Fox_and_the_Hound,83 minutes,$12 million,$63.5 million
45,Tron,"July 9, 1982",https://en.m.wikipedia.org/wiki/Tron,96 minutes,,
46,Tex,"July 30, 1982",https://en.m.wikipedia.org/wiki/Tex_(film),103 minutes,$5 million,$7.4 million
47,Trenchcoat,"March 11, 1983",https://en.m.wikipedia.org/wiki/Trenchcoat_(film),91 min,unknown,"$4,304,286 (US)"
48,Something Wicked This Way Comes,"April 29, 1983",https://en.m.wikipedia.org/wiki/Something_Wicked_This_Way_Comes_(film),95 minutes,$20 million,$8.4 million
49,Never Cry Wolf,"October 7, 1983",https://en.m.wikipedia.org/wiki/Never_Cry_Wolf_(film),105 minutes,$11 million,$27.6 million
50,Return to Oz,"June 21, 1985",https://en.m.wikipedia.org/wiki/Return_to_Oz,113 minutes,$28 million,$11.1 million (USA)
51,The Black Cauldron,"July 24, 1985",https://en.m.wikipedia.org/wiki/The_Black_Cauldron_(film),80 minutes,$44 million,$21.3 million
52,The Great Mouse Detective,"July 2, 1986",https://en.m.wikipedia.org/wiki/The_Great_Mouse_Detective,74 minutes,$14 million,$38.7 million
53,Flight of the Navigator,"July 30, 1986",https://en.m.wikipedia.org/wiki/Flight_of_the_Navigator,90 minutes,$9 million,"$18,564,613"
54,Return to Snowy River,"April 15, 1988",https://en.m.wikipedia.org/wiki/The_Man_from_Snowy_River_II,110 minutes,A$8.7 million,"$13,687,027"
55,Oliver & Company,"November 18, 1988",https://en.m.wikipedia.org/wiki/Oliver_%26_Company,74 minutes,$31 million,>$121 million
56,"Honey, I Shrunk the Kids","June 23, 1989","https://en.m.wikipedia.org/wiki/Honey,_I_Shrunk_the_Kids",93 minutes,$18 million,$222.7 million
57,Cheetah,"August 18, 1989",https://en.m.wikipedia.org/wiki/Cheetah_(1989_film),84 minutes,$5 million,"$8,153,677 (United States)"
58,The Little Mermaid,"November 17, 1989",https://en.m.wikipedia.org/wiki/The_Little_Mermaid_(1989_film),83 minutes,$40 million,
59,DuckTales the Movie: Treasure of the Lost Lamp,"August 3, 1990",https://en.m.wikipedia.org/wiki/DuckTales_the_Movie:_Treasure_of_the_Lost_Lamp,74 minutes,$20 million,$18.1 million
60,White Fang,"January 18, 1991",https://en.m.wikipedia.org/wiki/White_Fang_(1991_film),107 minutes,$14 million,$34.8 million
61,Shipwrecked,"March 1, 1991",https://en.m.wikipedia.org/wiki/Shipwrecked_(1990_film),93 minutes,60 million Norwegian Kroner (around $8.7 million in 1989),$15.1 million
62,The Rocketeer,"June 21, 1991",https://en.m.wikipedia.org/wiki/The_Rocketeer_(film),108 minutes,$35-40 million,$46.7 million (USA)
63,Beauty and the Beast,"November 22, 1991",https://en.m.wikipedia.org/wiki/Beauty_and_the_Beast_(1991_film),84 minutes,$25 million,$440.1 million
64,Newsies,"April 10, 1992",https://en.m.wikipedia.org/wiki/Newsies,121 minutes,$15 million,$2.8 million
65,"Honey, I Blew Up the Kid","July 17, 1992","https://en.m.wikipedia.org/wiki/Honey,_I_Blew_Up_the_Kid",89 minutes,$40 million,$96 million
66,The Mighty Ducks,"October 2, 1992",https://en.m.wikipedia.org/wiki/The_Mighty_Ducks_(film),104 minutes,$14 million,$50.8 million
67,Aladdin,"November 25, 1992",https://en.m.wikipedia.org/wiki/Aladdin_(1992_Disney_film),90 minutes,$28 million,$504.1 million
68,The Muppet Christmas Carol,"December 11, 1992",https://en.m.wikipedia.org/wiki/The_Muppet_Christmas_Carol,86 minutes,$12 million,$27.2 million
69,The Adventures of Huck Finn,"April 2, 1993",https://en.m.wikipedia.org/wiki/The_Adventures_of_Huck_Finn_(1993_film),107 minutes,$6.5 million,$24.1 million
70,Hocus Pocus,"July 16, 1993",https://en.m.wikipedia.org/wiki/Hocus_Pocus_(1993_film),96 minutes,$28 million,$44.9 million
71,Cool Runnings,"October 1, 1993",https://en.m.wikipedia.org/wiki/Cool_Runnings,98 minutes,$17 million,$154.9 million
72,The Three Musketeers,"November 12, 1993",https://en.m.wikipedia.org/wiki/The_Three_Musketeers_(1993_film),105 minutes,$30 million,$53.9 million
73,Blank Check,"February 11, 1994",https://en.m.wikipedia.org/wiki/Blank_Check_(film),94 minutes,$13 million,$39 million
74,The Lion King,"June 15, 1994",https://en.m.wikipedia.org/wiki/The_Lion_King,88 minutes,$45 million,$968.5 million
75,Angels in the Outfield,"July 15, 1994",https://en.m.wikipedia.org/wiki/Angels_in_the_Outfield_(1994_film),102 minutes,$31 million,$50.2 million
76,The Santa Clause,"November 11, 1994",https://en.m.wikipedia.org/wiki/The_Santa_Clause,97 minutes,$22 million,$189.8 million
77,Rudyard Kipling's The Jungle Book,"December 25, 1994",https://en.m.wikipedia.org/wiki/The_Jungle_Book_(1994_film),111 minutes,$30 million,$43.2 million
78,Man of the House,"March 3, 1995",https://en.m.wikipedia.org/wiki/Man_of_the_House_(1995_film),96 minutes,$22 million,"$40,070,995"
79,Tall Tale,"March 24, 1995",https://en.m.wikipedia.org/wiki/Tall_Tale_(film),98 minutes,$32 million (estimated),$11 million
80,A Goofy Movie,"April 7, 1995",https://en.m.wikipedia.org/wiki/A_Goofy_Movie,78 minutes,$18 million,$37.6 million
81,Pocahontas,"June 23, 1995",https://en.m.wikipedia.org/wiki/Pocahontas_(1995_film),81 minutes,$55 million,$346.1 million
82,Operation Dumbo Drop,"July 28, 1995",https://en.m.wikipedia.org/wiki/Operation_Dumbo_Drop,108 minutes,$24 million,"$24,670,346"
83,A Kid in King Arthur's Court,"August 11, 1995",https://en.m.wikipedia.org/wiki/A_Kid_in_King_Arthur%27s_Court,89 minutes,$15 million,$13.4 million (domestic)
84,The Big Green,"September 29, 1995",https://en.m.wikipedia.org/wiki/The_Big_Green,99 minutes,$12 million,$17.7 million
85,Toy Story,"November 22, 1995",https://en.m.wikipedia.org/wiki/Toy_Story,81 minutes,$30 million,$373 million
86,Muppet Treasure Island,"February 16, 1996",https://en.m.wikipedia.org/wiki/Muppet_Treasure_Island,100 minutes,$31 million,$34.3 million (North America)
87,James and the Giant Peach,"April 12, 1996",https://en.m.wikipedia.org/wiki/James_and_the_Giant_Peach_(film),79 minutes,$38 million,$37.7 million
88,The Hunchback of Notre Dame,"June 21, 1996",https://en.m.wikipedia.org/wiki/The_Hunchback_of_Notre_Dame_(1996_film),91 minutes,$70 million,$325.3 million
89,First Kid,"August 30, 1996",https://en.m.wikipedia.org/wiki/First_Kid,101 minutes,$15 million,"$26,465,920 (USA)"
90,101 Dalmatians,"November 27, 1996",https://en.m.wikipedia.org/wiki/101_Dalmatians_(1996_film),103 minutes,$67 million,$320.7 million
91,Jungle 2 Jungle,"March 7, 1997",https://en.m.wikipedia.org/wiki/Jungle_2_Jungle,105 minutes,$32 million,$59.9 million
92,Hercules,"June 27, 1997",https://en.m.wikipedia.org/wiki/Hercules_(1997_film),93 minutes,$85 million,$252.7 million
93,George of the Jungle,"July 16, 1997",https://en.m.wikipedia.org/wiki/George_of_the_Jungle_(film),92 minutes,$55 million,$174.4 million
94,Air Bud,"August 1, 1997",https://en.m.wikipedia.org/wiki/Air_Bud,98 minutes,$3 million,$27.8 million
95,RocketMan,"October 10, 1997",https://en.m.wikipedia.org/wiki/RocketMan,95 minutes,$16 million,$15.4 million
96,Flubber,"November 26, 1997",https://en.m.wikipedia.org/wiki/Flubber_(film),93 minutes,$80 million,$178 million
97,Mr. Magoo,"December 25, 1997",https://en.m.wikipedia.org/wiki/Mr._Magoo_(film),87 minutes,$30 million,$28.9 million
98,Meet the Deedles,"March 27, 1998",https://en.m.wikipedia.org/wiki/Meet_the_Deedles,93 minutes,$24 million,$4.4 million
99,Mulan,"June 19, 1998",https://en.m.wikipedia.org/wiki/Mulan_(1998_film),87 minutes,$90 million,$304.3 million
100,The Parent Trap,"July 29, 1998",https://en.m.wikipedia.org/wiki/The_Parent_Trap_(1998_film),128 minutes,$15 million,$92.1 million
101,I'll Be Home for Christmas,"November 13, 1998",https://en.m.wikipedia.org/wiki/I%27ll_Be_Home_for_Christmas_(1998_film),86 minutes,$30 million,$12.2 million
102,A Bug's Life,"November 25, 1998",https://en.m.wikipedia.org/wiki/A_Bug%27s_Life,95 minutes,$120 million,$363.3 million
103,Mighty Joe Young,"December 25, 1998",https://en.m.wikipedia.org/wiki/Mighty_Joe_Young_(1998_film),114 minutes,$90 million,$50.6 million (US)
104,My Favorite Martian,"February 12, 1999",https://en.m.wikipedia.org/wiki/My_Favorite_Martian_(film),93 minutes,$65 million,$36.8 million
105,Doug's 1st Movie,"March 26, 1999",https://en.m.wikipedia.org/wiki/Doug%27s_1st_Movie,83 minutes,$5 million,$19.4 million
106,Tarzan,"June 18, 1999",https://en.m.wikipedia.org/wiki/Tarzan_(1999_film),88 minutes,$130 million,$448.2 million
107,Inspector Gadget,"July 23, 1999",https://en.m.wikipedia.org/wiki/Inspector_Gadget_(film),78 minutes,$75–90 million,$134.4 million
108,The Straight Story,"October 15, 1999",https://en.m.wikipedia.org/wiki/The_Straight_Story,112 minutes,$10 million,$6.2 million
109,Toy Story 2,"November 24, 1999",https://en.m.wikipedia.org/wiki/Toy_Story_2,92 minutes,$90 million,$497.4 million
110,Fantasia 2000,"January 1, 2000",https://en.m.wikipedia.org/wiki/Fantasia_2000,74 minutes,$80–$85 million,$90.9 million
111,The Tigger Movie,"February 11, 2000",https://en.m.wikipedia.org/wiki/The_Tigger_Movie,78 minutes,$15 million –$30 million,$96.2 million
112,Whispers: An Elephant's Tale,"March 10, 2000",https://en.m.wikipedia.org/wiki/Whispers:_An_Elephant%27s_Tale,72 minutes,"$4,000,000 (estimated)","$500,000 (USA) (30 November 2000)"
113,Dinosaur,"May 19, 2000",https://en.m.wikipedia.org/wiki/Dinosaur_(film),82 minutes,$127.5 million,$349.8 million
114,Disney's The Kid,"July 7, 2000",https://en.m.wikipedia.org/wiki/Disney%27s_The_Kid,104 minutes,$65 million,$110.3 million
115,Remember the Titans,"September 29, 2000",https://en.m.wikipedia.org/wiki/Remember_the_Titans,113 minutes,$30 million,$136.8 million
116,102 Dalmatians,"November 22, 2000",https://en.m.wikipedia.org/wiki/102_Dalmatians,100 minutes,$85 million,$183.6 million
117,The Emperor's New Groove,"December 15, 2000",https://en.m.wikipedia.org/wiki/The_Emperor%27s_New_Groove,78 minutes,$100 million,$169.6 million
118,Recess: School's Out,"February 16, 2001",https://en.m.wikipedia.org/wiki/Recess:_School%27s_Out,83 minutes,$23 million,$44.5 million
119,Atlantis: The Lost Empire,"June 15, 2001",https://en.m.wikipedia.org/wiki/Atlantis:_The_Lost_Empire,96 minutes,$90–120 million,$186.1 million
120,The Princess Diaries,"August 3, 2001",https://en.m.wikipedia.org/wiki/The_Princess_Diaries_(film),115 minutes,$26 million,$165.3 million
121,Max Keeble's Big Move,"October 5, 2001",https://en.m.wikipedia.org/wiki/Max_Keeble%27s_Big_Move,86 minutes,$25 million,$18.6 million
122,"Monsters, Inc.","November 2, 2001","https://en.m.wikipedia.org/wiki/Monsters,_Inc.",92 minutes,$115 million,$577.4 million
123,Snow Dogs,"January 18, 2002",https://en.m.wikipedia.org/wiki/Snow_Dogs,99 minutes,$33 million,$115 million
124,Peter Pan in Return to Neverland,"February 15, 2002",https://en.m.wikipedia.org/wiki/Return_to_Never_Land,73 minutes,$20 million,$115.1 million
125,The Rookie,"March 29, 2002",https://en.m.wikipedia.org/wiki/The_Rookie_(2002_film),128 minutes,$22 million,$80.7 million
126,Lilo & Stitch,"June 21, 2002",https://en.m.wikipedia.org/wiki/Lilo_%26_Stitch,85 minutes,$80 million,$273.1 million
127,The Country Bears,"July 26, 2002",https://en.m.wikipedia.org/wiki/The_Country_Bears,88 minutes,$35 million,$18 million
128,Tuck Everlasting,"October 11, 2002",https://en.m.wikipedia.org/wiki/Tuck_Everlasting_(2002_film),96 minutes,$15 million,$19.3 million
129,The Santa Clause 2,"November 1, 2002",https://en.m.wikipedia.org/wiki/The_Santa_Clause_2,104 minutes,$65 million,$172.9 million
130,Treasure Planet,"November 27, 2002",https://en.m.wikipedia.org/wiki/Treasure_Planet,95 minutes,$140 million,$109.6 million
131,The Jungle Book 2,"February 14, 2003",https://en.m.wikipedia.org/wiki/The_Jungle_Book_2,72 minutes,$20 million,$135.7 million
132,Piglet's Big Movie,"March 21, 2003",https://en.m.wikipedia.org/wiki/Piglet%27s_Big_Movie,75 minutes,$46 million,$62.9 million
133,Ghosts of the Abyss,"April 11, 2003",https://en.m.wikipedia.org/wiki/Ghosts_of_the_Abyss,61 minutes,$13 million,$28.7 million
134,Holes,"April 18, 2003",https://en.m.wikipedia.org/wiki/Holes_(film),117 minutes,$20 million,$71.4 million
135,The Lizzie McGuire Movie,"May 2, 2003",https://en.m.wikipedia.org/wiki/The_Lizzie_McGuire_Movie,94 minutes,$17 million,$55.5 million
136,Finding Nemo,"May 30, 2003",https://en.m.wikipedia.org/wiki/Finding_Nemo,100 minutes,$94 million,$940.3 million
137,Pirates of the Caribbean: The Curse of the Black Pearl,"July 9, 2003",https://en.m.wikipedia.org/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,143 minutes,$140 million,$654.3 million
138,Freaky Friday,"August 6, 2003",https://en.m.wikipedia.org/wiki/Freaky_Friday_(2003_film),97 minutes,$26 million,$160.8 million
139,Brother Bear,"November 1, 2003",https://en.m.wikipedia.org/wiki/Brother_Bear,85 minutes,$46 million,$250.4 million
140,The Haunted Mansion,"November 26, 2003",https://en.m.wikipedia.org/wiki/The_Haunted_Mansion_(film),86 minutes,$90 million,$182.3 million
